ya_name,ya_seattypeid,utcconversiontimezonecode,importsequencenumber,statuscode,timezoneruleversionnumber,versionnumber,statecode,owningbusinessunit
カフェテリア,cda0bc03-8a5e-ed11-9562-002248e99037,,,アクティブ,,1675469,アクティブ,fb5f5791-f247-ed11-bba3-002248e8dfc5
ビデオ会議ブース,cca0bc03-8a5e-ed11-9562-002248e99037,,,アクティブ,,1675467,アクティブ,fb5f5791-f247-ed11-bba3-002248e8dfc5
交流エリア,fc1d04f2-895e-ed11-9562-002248e99037,,,アクティブ,,1675465,アクティブ,fb5f5791-f247-ed11-bba3-002248e8dfc5
固定席エリア,170be8d8-895e-ed11-9562-002248e99037,,,アクティブ,,1675463,アクティブ,fb5f5791-f247-ed11-bba3-002248e8dfc5
集中エリア,2a64c4cd-895e-ed11-9562-002248e99037,,,アクティブ,,1675462,アクティブ,fb5f5791-f247-ed11-bba3-002248e8dfc5
執務エリア,2964c4cd-895e-ed11-9562-002248e99037,,,アクティブ,,1675460,アクティブ,fb5f5791-f247-ed11-bba3-002248e8dfc5
